2024-08-05 15:29:39.476 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dongleshowdevicescomplete' (class org.asteriskjava.manager.event.DongleShowDevicesCompleteEvent)
2024-08-05 15:29:39.476 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'authdetail' (class org.asteriskjava.manager.event.AuthDetail)
2024-08-05 15:29:39.476 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'statuscomplete' (class org.asteriskjava.manager.event.StatusCompleteEvent)
2024-08-05 15:29:39.476 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'coreshowchannelscomplete' (class org.asteriskjava.manager.event.CoreShowChannelsCompleteEvent)
2024-08-05 15:29:39.477 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'peers' (class org.asteriskjava.manager.event.PeersEvent)
2024-08-05 15:29:39.477 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuestatuscomplete' (class org.asteriskjava.manager.event.QueueStatusCompleteEvent)
2024-08-05 15:29:39.477 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'dongledeviceentry' (class org.asteriskjava.manager.event.DongleDeviceEntryEvent)
2024-08-05 15:29:39.477 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'zapshowchannels' (class org.asteriskjava.manager.event.ZapShowChannelsEvent)
2024-08-05 15:29:39.477 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'queuesummary' (class org.asteriskjava.manager.event.QueueSummaryEvent)
2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'confbridgelistcomplete' (class org.asteriskjava.manager.event.ConfbridgeListCompleteEvent)
2024-08-05 15:29:39.478 | [main] | DEBUG | o.a.m.internal.EventBuilderImpl:112 | Registered event type 'skypebuddylistcomplete' (class org.asteriskjava.manager.event.SkypeBuddyListCompleteEvent)
